core_series,n,Ca_median,Ca_q25,Ca_q75,Ti_median,Ti_q25,Ti_q75,Fe_median,Fe_q25,Fe_q75,Mn_median,Mn_q25,Mn_q75,Sr_median,Sr_q25,Sr_q75,Zr_median,Zr_q25,Zr_q75,Rb_median,Rb_q25,Rb_q75,Fe_Mn_median,Fe_Mn_q25,Fe_Mn_q75,Zr_Rb_median,Zr_Rb_q25,Zr_Rb_q75
SC,875,43168,20725.5,72280,14329,12134.5,16623.5,286477,223962,341412,5504,3555.5,8097.5,4024,3444,4501.5,2692,2262.5,3193.5,2936,2528.5,3340.5,50.658747903856906,35.47156092073729,62.874785824634856,0.9170731707317074,0.7666980244590781,1.1864686468646866
TAM,712,44729,17125,81270.5,10157,8319.75,12337.25,171520,130973,258893.25,1574,1186.5,2397,3622,2929,4258.25,2401.5,1776.75,3373.75,2398,2092.5,2716,93.36277889787593,67.12932176506632,137.04508094132086,0.9987833602663925,0.7210739475634824,1.573727070594775
